Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_57,VGND,li1,34.5000,48.9600,0.000019
FILLER_13_52,VGND,li1,30.3600,48.9600,0.000016
FILLER_13_43,VGND,li1,25.9900,48.9600,0.000012
FILLER_13_24,VGND,li1,17.9400,48.9600,0.000014
FILLER_12_157,VGND,li1,77.9700,43.5200,0.000055
FILLER_12_149,VGND,li1,75.9000,43.5200,0.000054
FILLER_12_139,VGND,li1,69.6900,43.5200,0.000051
FILLER_12_135,VGND,li1,68.5400,43.5200,0.000050
FILLER_12_123,VGND,li1,64.8600,43.5200,0.000048
FILLER_12_109,VGND,li1,57.5000,43.5200,0.000042
FILLER_12_97,VGND,li1,52.9000,43.5200,0.000038
FILLER_12_85,VGND,li1,47.3800,43.5200,0.000033
FILLER_12_83,VGND,li1,43.9300,43.5200,0.000029
FILLER_12_75,VGND,li1,41.8600,43.5200,0.000027
FILLER_12_63,VGND,li1,37.2600,43.5200,0.000022
FILLER_12_58,VGND,li1,32.4300,43.5200,0.000018
FILLER_12_52,VGND,li1,30.8200,43.5200,0.000016
FILLER_12_41,VGND,li1,24.6100,43.5200,0.000010
FILLER_12_37,VGND,li1,23.4600,43.5200,0.000010
FILLER_12_22,VGND,li1,16.3300,43.5200,0.000010
FILLER_12_14,VGND,li1,13.8000,43.5200,0.000010
FILLER_12_3,VGND,li1,8.7400,43.5200,0.000010
FILLER_11_169,VGND,li1,83.7200,43.5200,0.000056
FILLER_11_137,VGND,li1,69.2300,43.5200,0.000050
FILLER_11_109,VGND,li1,56.3500,43.5200,0.000042
FILLER_11_101,VGND,li1,53.8200,43.5200,0.000038
FILLER_11_89,VGND,li1,49.2200,43.5200,0.000035
FILLER_11_77,VGND,li1,43.7000,43.5200,0.000029
FILLER_11_53,VGND,li1,30.5900,43.5200,0.000016
FILLER_11_41,VGND,li1,27.1400,43.5200,0.000012
FILLER_11_29,VGND,li1,19.7800,43.5200,0.000010
FILLER_11_23,VGND,li1,16.7900,43.5200,0.000010
FILLER_11_15,VGND,li1,14.2600,43.5200,0.000010
FILLER_11_3,VGND,li1,9.6600,43.5200,0.000010
FILLER_10_177,VGND,li1,87.1700,38.0800,0.000114
FILLER_10_170,VGND,li1,84.4100,38.0800,0.000114
FILLER_10_162,VGND,li1,81.8800,38.0800,0.000114
FILLER_10_150,VGND,li1,77.2800,38.0800,0.000114
FILLER_10_145,VGND,li1,72.4500,38.0800,0.000114
FILLER_10_141,VGND,li1,70.6100,38.0800,0.000113
FILLER_10_137,VGND,li1,69.2300,38.0800,0.000113
FILLER_10_116,VGND,li1,59.1100,38.0800,0.000104
FILLER_10_91,VGND,li1,47.6100,38.0800,0.000079
FILLER_10_85,VGND,li1,46.0000,38.0800,0.000079
FILLER_10_78,VGND,li1,42.7800,38.0800,0.000072
FILLER_10_66,VGND,li1,38.6400,38.0800,0.000058
FILLER_10_48,VGND,li1,28.5200,38.0800,0.000037
FILLER_10_37,VGND,li1,22.7700,38.0800,0.000030
FILLER_10_26,VGND,li1,17.9400,38.0800,0.000031
FILLER_9_177,VGND,li1,87.1700,38.0800,0.000114
FILLER_9_169,VGND,li1,85.1000,38.0800,0.000114
